timestamp, index, clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.active
2026/08/11 16:19:29.636, 2, 1740, 2100, 85, 286.50, 300.00, 84, 58, 0x0000000000000004
2026/08/11 16:19:34.638, 0, 1515, 2100, 88, 257.44, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:34.639, 1, 1590, 2100, 88, 266.42, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:34.644, 2, 1755, 2100, 85, 289.27, 300.00, 91, 63, 0x0000000000000004
2026/08/11 16:19:39.648, 0, 1530, 2100, 88, 257.49, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:19:39.652, 1, 1530, 2100, 88, 265.52, 300.00, 88, 58, 0x0000000000000020
2026/08/11 16:19:39.654, 2, 1755, 2100, 85, 288.61, 300.00, 91, 63, 0x0000000000000004
2026/08/11 16:19:44.656, 0, 1635, 2100, 88, 257.55, 300.00, 91, 60, 0x0000000000000020
2026/08/11 16:19:44.657, 1, 1560, 2100, 88, 269.97, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:19:44.659, 2, 1800, 2100, 85, 289.86, 300.00, 88, 57, 0x0000000000000020
2026/08/11 16:19:49.662, 0, 1530, 2100, 88, 260.36, 300.00, 94, 61, 0x0000000000000020
2026/08/11 16:19:49.665, 1, 1590, 2100, 88, 267.69, 300.00, 90, 59, 0x0000000000000020
2026/08/11 16:19:49.666, 2, 1860, 2100, 81, 139.53, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:19:54.668, 0, 1560, 2100, 88, 246.49, 300.00, 86, 54, 0x0000000000000020
2026/08/11 16:19:54.670, 1, 1590, 2100, 88, 261.13, 300.00, 89, 56, 0x0000000000000020
2026/08/11 16:19:54.672, 2, 0, 2100, 74, 60.08, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:19:59.699, 0, 1800, 2100, 85, 130.02, 300.00, 0, 0, 0x0000000000000020
2026/08/11 16:19:59.701, 1, 1800, 2100, 85, 157.32, 300.00, 0, 0, 0x0000000000000020
2026/08/11 16:19:59.702, 2, 1800, 2100, 73, 94.19, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:20:04.724, 0, 0, 2100, 81, 65.62, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:20:04.750, 1, 0, 2100, 79, 74.43, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:20:04.784, 2, 1860, 2100, 79, 288.54, 300.00, 84, 56, 0x0000000000000004
2026/08/11 16:20:09.786, 0, 1815, 2100, 83, 152.94, 300.00, 62, 40, 0x0000000000000004
2026/08/11 16:20:09.788, 1, 1800, 2100, 79, 117.44, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:20:09.809, 2, 1830, 2100, 80, 289.03, 300.00, 83, 56, 0x0000000000000004
2026/08/11 16:20:14.812, 0, 1800, 2100, 85, 285.08, 300.00, 73, 48, 0x0000000000000024
2026/08/11 16:20:14.813, 1, 1800, 2100, 84, 290.82, 300.00, 84, 55, 0x0000000000000024
2026/08/11 16:20:14.815, 2, 1830, 2100, 81, 285.10, 300.00, 84, 56, 0x0000000000000004
2026/08/11 16:20:19.816, 0, 1755, 2100, 86, 281.58, 300.00, 84, 55, 0x0000000000000020
2026/08/11 16:20:19.819, 1, 1770, 2100, 85, 290.90, 300.00, 85, 56, 0x0000000000000004
2026/08/11 16:20:19.820, 2, 1845, 2100, 82, 284.16, 300.00, 73, 48, 0x0000000000000004
2026/08/11 16:20:24.822, 0, 1710, 2100, 86, 273.58, 300.00, 85, 55, 0x0000000000000020
2026/08/11 16:20:24.824, 1, 1755, 2100, 86, 286.46, 300.00, 82, 54, 0x0000000000000004
2026/08/11 16:20:24.828, 2, 1815, 2100, 82, 286.86, 300.00, 83, 55, 0x0000000000000004
2026/08/11 16:20:29.833, 0, 1695, 2100, 87, 267.85, 300.00, 82, 53, 0x0000000000000020
2026/08/11 16:20:29.837, 1, 1785, 2100, 86, 276.47, 300.00, 76, 49, 0x0000000000000020
2026/08/11 16:20:29.839, 2, 1815, 2100, 83, 291.08, 300.00, 87, 57, 0x0000000000000004
2026/08/11 16:20:34.841, 0, 1635, 2100, 87, 271.92, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:34.843, 1, 1665, 2100, 87, 273.22, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:34.844, 2, 1845, 2100, 83, 288.35, 300.00, 82, 55, 0x0000000000000004
2026/08/11 16:20:39.850, 0, 1635, 2100, 87, 263.30, 300.00, 88, 55, 0x0000000000000020
2026/08/11 16:20:39.851, 1, 1665, 2100, 87, 273.07, 300.00, 87, 55, 0x0000000000000020
2026/08/11 16:20:39.853, 2, 1800, 2100, 83, 284.92, 300.00, 83, 55, 0x0000000000000004
2026/08/11 16:20:44.855, 0, 1650, 2100, 87, 258.09, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:44.856, 1, 1665, 2100, 87, 267.96, 300.00, 85, 55, 0x0000000000000020
2026/08/11 16:20:44.861, 2, 1845, 2100, 84, 285.02, 300.00, 83, 55, 0x0000000000000004
2026/08/11 16:20:49.865, 0, 1620, 2100, 87, 255.11, 300.00, 85, 54, 0x0000000000000020
2026/08/11 16:20:49.871, 1, 1590, 2100, 88, 268.75, 300.00, 58, 38, 0x0000000000000020
2026/08/11 16:20:49.874, 2, 1800, 2100, 84, 282.03, 300.00, 81, 53, 0x0000000000000020
2026/08/11 16:20:54.876, 0, 1605, 2100, 88, 253.10, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:54.877, 1, 1695, 2100, 87, 265.87, 300.00, 82, 52, 0x0000000000000020
2026/08/11 16:20:54.878, 2, 1800, 2100, 84, 278.98, 300.00, 82, 54, 0x0000000000000004
2026/08/11 16:20:59.883, 0, 1650, 2100, 88, 258.43, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:59.888, 1, 1620, 2100, 87, 260.46, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:20:59.890, 2, 1800, 2100, 84, 285.54, 300.00, 87, 57, 0x0000000000000020
2026/08/11 16:21:04.892, 0, 1590, 2100, 88, 273.11, 300.00, 84, 53, 0x0000000000000020
2026/08/11 16:21:04.894, 1, 1620, 2100, 87, 258.16, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:21:04.895, 2, 1770, 2100, 84, 263.15, 300.00, 91, 62, 0x0000000000000004
2026/08/11 16:21:09.899, 0, 1575, 2100, 88, 266.45, 300.00, 87, 54, 0x0000000000000020
2026/08/11 16:21:09.902, 1, 1635, 2100, 87, 255.74, 300.00, 89, 57, 0x0000000000000020
2026/08/11 16:21:09.903, 2, 1770, 2100, 84, 287.26, 300.00, 90, 62, 0x0000000000000004
2026/08/11 16:21:14.905, 0, 1620, 2100, 88, 240.16, 300.00, 67, 45, 0x0000000000000020
2026/08/11 16:21:14.907, 1, 1605, 2100, 87, 262.88, 300.00, 88, 55, 0x0000000000000020
2026/08/11 16:21:14.912, 2, 1695, 2100, 84, 287.65, 300.00, 90, 62, 0x0000000000000004
2026/08/11 16:21:19.917, 0, 1530, 2100, 88, 262.20, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:21:19.922, 1, 1590, 2100, 88, 271.92, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:21:19.933, 2, 1770, 2100, 84, 286.45, 300.00, 89, 61, 0x0000000000000004
2026/08/11 16:21:24.935, 0, 1620, 2100, 88, 260.23, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:21:24.940, 1, 1590, 2100, 88, 271.47, 300.00, 92, 61, 0x0000000000000020
