cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca1,ridge,0.8630671423826695,0.8369367612685011,0.14276467466717674,0.3617801894090259
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca16,knn,0.8614065077984085,0.8585620207493209,0.20339648000785499,0.3260111000765621
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca16,ridge,0.8706547725130421,0.8661644368344448,0.21938901663595348,0.315493960093518
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca2,knn,0.8541657547430512,0.852153236798658,0.1649947513223724,0.3341872702833921
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca2,ridge,0.8666912350870987,0.8613831828020809,0.199039444381848,0.32265902383524303
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca32,knn,0.8617310426510238,0.8584322037854,0.17584549661615112,0.32550529086985236
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca32,ridge,0.8775785924866961,0.8731677979799195,0.2443088445827904,0.30790086286405205
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca4,knn,0.8627593220021915,0.8602470638269306,0.20567228835529605,0.32399983716409964
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca4,ridge,0.8668235538635978,0.8619546063062576,0.20150303227104305,0.32156857476675804
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca8,knn,0.8628702192878905,0.8607225546429623,0.18900186626482546,0.3238030999978939
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pca8,ridge,0.8680988313829705,0.8631796201666835,0.21040676500815497,0.31997790650606944
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pred1,knn,0.8335011569609321,0.8230915861889259,0.09384779332736054,0.36574460965604705
D_w3,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,pred1,ridge,0.8785179523412867,0.8703214096119182,0.2417974138298261,0.3095607929192165
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,emb32,knn,0.8630374857793437,0.862039896369166,0.22055758045565055,0.3232475249361758
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,emb32,ridge,0.8767737421502514,0.8730616643359181,0.25437302460485567,0.30859746205088573
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca1,knn,0.8225059043127649,0.8098829824402243,0.10058711201947708,0.38279578120189406
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca1,ridge,0.8661142373385637,0.8450584124270922,0.24307760820101254,0.3474692441218687
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca16,knn,0.8624138426399418,0.861934359156024,0.22998054148873479,0.3235513126672798
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca16,ridge,0.8748616323575953,0.8713142194782771,0.25538485940556704,0.3107507182250706
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca2,knn,0.8585100760161736,0.8562923193230403,0.22621107539845298,0.33129706741056286
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca2,ridge,0.8633173150103571,0.8568636941432649,0.24235454224494068,0.3319544732745235
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca32,knn,0.8630373637393332,0.8620402967507366,0.22055955384057369,0.32324752502977183
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca32,ridge,0.8767737421502514,0.8730616643359186,0.25437302460485567,0.3085974620508857
