sweep_id,config,bootstrap,embedding,embedding_label,n_rows,input_dim,pprop_edge,n_positive,positive_rate,n_components,pca_explained_variance,pearson,spearman,r2,average_precision,auc,pearson_oob,spearman_oob,r2_oob,average_precision_oob,auc_oob
lyc0lh2d,cfg0,boot07,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7638904452323914,0.9781532496028654,0.9805124275470865,0.932544646521237,1.0,1.0,0.7164251409543966,0.7317214950680286,0.5091542373183673,0.042817553973801915,0.6715728001968216
lyc0lh2d,cfg0,boot07,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.5948588848114014,0.9838308060710588,0.9884831211414291,0.9630780754005822,0.9999999999999999,1.0,0.855317996829668,0.856177188726805,0.7314427436392286,0.21162101609205297,0.8239740897990018
lyc0lh2d,cfg0,boot08,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7639604806900024,0.9776658494510979,0.9797100561074007,0.9245914152382166,1.0,1.0,0.6755979007514809,0.688945290379073,0.4515657810756806,0.03780861922804201,0.6707576018398631
lyc0lh2d,cfg0,boot08,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7584896087646484,0.9783641978415903,0.9803314345502377,0.9266159234217471,1.0,1.0,0.6872458922154548,0.7019186809931366,0.4660122115144444,0.045684573281897914,0.6882387368681077
lyc0lh2d,cfg0,boot08,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7661570310592651,0.9785877333571624,0.9808384685762539,0.9273402468679683,1.0,1.0,0.6917457776878545,0.706429760147752,0.47166490195666766,0.04358346191094285,0.6899453389408032
lyc0lh2d,cfg0,boot08,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7644001245498657,0.9781480287649836,0.9805531395525513,0.9297210267885899,1.0000000000000002,1.0,0.7021413069731774,0.7164395684839852,0.4881389691241761,0.04764687980148921,0.6990657251439713
lyc0lh2d,cfg0,boot08,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7620514631271362,0.9786989764744997,0.9813648163925992,0.9312545796251441,1.0000000000000002,1.0,0.7112330724371049,0.7259373090452615,0.499866220004473,0.054566039667183736,0.6971428249267279
lyc0lh2d,cfg0,boot08,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.5928696990013123,0.983739817284001,0.9884539427816621,0.962998191262225,1.0,1.0,0.8552588457279662,0.8560660362436546,0.7313711628747335,0.2314864351442138,0.8187331414594365
lyc0lh2d,cfg0,boot09,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7594507932662964,0.9777815542638759,0.9800144561746943,0.9240784552689141,0.9999999999999999,1.0,0.672512277476946,0.6874568291085715,0.44713656490088316,0.04191550662861976,0.6596014286811056
lyc0lh2d,cfg0,boot09,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7593798637390137,0.9779493182523132,0.9799695541169795,0.9265534161601243,1.0,1.0,0.6861364624664502,0.7010923323545561,0.46561246905845244,0.0465135913985535,0.6637188750440336
lyc0lh2d,cfg0,boot09,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7669716477394104,0.9778886252212335,0.9799594162576485,0.9273675097362312,1.0,1.0,0.6899473586385089,0.7051646834491605,0.47119427293602767,0.04144514121780383,0.6655977860317923
lyc0lh2d,cfg0,boot09,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7663791179656982,0.9777568577792625,0.9798869279680243,0.9274468200620459,1.0,1.0,0.6902352978926338,0.7036213062392073,0.47192245830826185,0.03849802258764909,0.6851286367538799
lyc0lh2d,cfg0,boot09,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7611428499221802,0.9779257932139243,0.9803992334265424,0.9295288633312702,1.0,1.0,0.701312081606237,0.7164271928055393,0.4874124903885195,0.04661845244082561,0.6958301242554787
lyc0lh2d,cfg0,boot09,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.573478102684021,0.9836908120214205,0.9886815796845277,0.9627108650306794,0.9999999999999999,1.0,0.8538069135213547,0.8555970642378058,0.7288450822220405,0.2067776553349774,0.8165312756196695
lyc0lh2d,cfg1,boot00,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7753893733024597,0.9780321190524597,0.9800594087014217,0.9261533950023808,0.9999999999999999,1.0,0.6839531398656961,0.6978012680153729,0.4623670663129693,0.047462213609396287,0.6621924227237509
lyc0lh2d,cfg1,boot00,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7649273872375488,0.9782728507056554,0.9803272728259435,0.9292169762971249,0.9999999999999997,1.0,0.7000312671862394,0.7137992870039418,0.4846620538419393,0.062261894136872144,0.7094869086323805
lyc0lh2d,cfg1,boot00,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7713326215744019,0.9781720946537542,0.9802460346734027,0.9305264556086985,0.9999999999999999,1.0,0.7065752696525212,0.7199065807864475,0.4944712984072439,0.06856891223685938,0.7032731634739496
lyc0lh2d,cfg1,boot00,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7707403898239136,0.9780673188275797,0.9803787323088745,0.93396172484224,0.9999999999999998,1.0,0.7230517611353146,0.7361465533127208,0.5193998817992179,0.06835610481727505,0.7113314478527819
lyc0lh2d,cfg1,boot00,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7681480646133423,0.9782691537640464,0.9809306582946065,0.9373121949927765,0.9999999999999999,1.0,0.7393013985103045,0.7512080820438004,0.5439083667291029,0.07381663399608485,0.7178834505246362
lyc0lh2d,cfg1,boot00,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.6535812020301819,0.9844875107792287,0.988607872273627,0.965249477693459,0.9999999999999999,1.0,0.8647773768618914,0.8661243255127715,0.7477421204775284,0.2599179206295517,0.8327276148298328
lyc0lh2d,cfg1,boot01,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7745634317398071,0.9778569289900956,0.9799692458070375,0.9266991769036753,0.9999999999999998,1.0,0.6865466540100369,0.7016420484231104,0.46646832430722485,0.03547656008812658,0.6769022126061288
lyc0lh2d,cfg1,boot01,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7662404179573059,0.9777936393295906,0.980001365225465,0.9301261297847956,0.9999999999999999,1.0,0.7039990643266081,0.7179406844192753,0.49168016435988227,0.06304191149809663,0.6929220026900942
lyc0lh2d,cfg1,boot01,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7704716920852661,0.9782326780515368,0.9804137812335609,0.9333710797458604,0.9999999999999999,0.9999999999999999,0.7205024799118847,0.7341201421993053,0.5151568718787646,0.06705572689424955,0.6923600325847198
lyc0lh2d,cfg1,boot01,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7680171132087708,0.9783414550715853,0.9804797875324796,0.9348616687089492,1.0,1.0,0.7280862860598108,0.7416347217854491,0.526374723530407,0.0672861444547875,0.6902011018437363
lyc0lh2d,cfg1,boot01,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7635287046432495,0.9780216774759062,0.9805154634257719,0.9352811123500948,0.9999999999999999,1.0,0.7296507022945677,0.7440390215513428,0.5294736398316727,0.06271559683149724,0.6793528177588759
lyc0lh2d,cfg1,boot01,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.6230012774467468,0.9842651872741548,0.9885851653660408,0.9645134127690773,0.9999999999999999,1.0,0.8616681453333046,0.8631471175940726,0.7423787166242074,0.2617321855086882,0.8321859337794147
lyc0lh2d,cfg1,boot02,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7731943130493164,0.9779142444518467,0.9799393385212133,0.9259946818393241,0.9999999999999999,1.0,0.6830550061555691,0.6972533949859895,0.4613597563185108,0.0418239570843758,0.6882113413140423
lyc0lh2d,cfg1,boot02,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7683586478233337,0.9786489211614205,0.9807602600961426,0.9313528600318769,0.9999999999999999,1.0,0.711447152884477,0.7255599046982907,0.5003934990284638,0.06382573848093237,0.7162976352484629
lyc0lh2d,cfg1,boot02,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7728486061096191,0.9788584570042853,0.9809854796406434,0.9330193195802801,0.9999999999999999,1.0,0.7200555036498093,0.7341826549766651,0.5126285146835113,0.08629448747059777,0.7334007282124391
