sweep_id,config,bootstrap,embedding,embedding_label,fold,input_dim,n_rows,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim
lyc0lh2d,cfg1,boot03,vn15,VN 15,0,336,66296,0.45461706799579915,0.07224036934730071,0.17378481564937287,0.4488933062634793,0.11744432997441995,5000,61.91259908911264,0.11105605924272309,0.3155127645949972,336
lyc0lh2d,cfg1,boot03,pooled512,Pooled embedding,0,512,66296,0.13200546010142294,0.07224036934730071,0.401804413792668,0.11245614489366865,0.14941080552901626,5000,93.9322392315378,0.19162365091852143,0.1359092507029245,512
lyc0lh2d,cfg1,boot03,z,Head export (z),0,1024,66296,0.1428564944501734,0.07224036934730071,0.8510972374652134,0.15499364207502045,0.12403849930261951,5000,28.46543672710319,0.4018204713574006,0.00031657564107940336,1024
lyc0lh2d,cfg1,boot04,vn03,VN 3,0,336,66296,0.44049825587375163,0.07514819748469484,0.11596142440975983,0.43471668525998475,0.10307031173662008,5000,61.64355402570525,0.08803387998654805,0.09536594573334997,336
lyc0lh2d,cfg1,boot04,vn06,VN 6,0,336,66296,0.4658463724842382,0.07514819748469484,0.13541363683555052,0.45990640903753854,0.11680338339550217,5000,65.04865786510379,0.08683062741924995,0.17774662889299084,336
lyc0lh2d,cfg1,boot04,vn09,VN 9,0,336,66296,0.4757761704793974,0.07514819748469484,0.14799398336278097,0.4698283160654162,0.11868741890739816,5000,62.56316450556979,0.09483153270659138,0.1921719625513236,336
lyc0lh2d,cfg1,boot04,vn12,VN 12,0,336,66296,0.4839700217384375,0.07514819748469484,0.156554938775664,0.47810053757838267,0.12066827110291374,5000,62.42972259537494,0.10100217321334588,0.1991120627019925,336
lyc0lh2d,cfg1,boot04,vn15,VN 15,0,336,66296,0.48337744005898553,0.07514819748469484,0.1659007152307388,0.4775276586713666,0.12043582401965723,5000,62.14800013000345,0.10854544223052577,0.2290780716104292,336
lyc0lh2d,cfg1,boot04,pooled512,Pooled embedding,0,512,66296,0.16998930871534865,0.07514819748469484,0.4829042576791223,0.152682451348564,0.15672038463886195,5000,97.0347255147535,0.1909382065794128,0.16862453945382613,512
lyc0lh2d,cfg1,boot04,z,Head export (z),0,1024,66296,0.15231991855597213,0.07514819748469484,0.8710385160293144,0.17683294119495785,0.1268768567467425,5000,28.32432660107923,0.40159562701345575,0.00016235067909880092,1024
